TSC,CPU,DOM,vCPU,UOPS_RETIRED.ALL,UOPS_ISSUED.ANY,UOPS_ISSUED.ANY-stalls,RESOURCE_STALLS.ANY
23496246877114,0,0,0,35103785,33762857,49310825,3940539
23496247627766,0,32767,0,0,0,33978,0
23496247777282,0,0,0,5576,5330,38557,79
23496249747768,0,32767,0,0,0,81365,0
23496249963526,0,0,0,77797,80396,72861,8689
23496251231036,0,32767,0,0,0,28080,0
23496251404498,0,0,0,13211,13418,54418,415
23496252302324,0,32767,0,0,0,18944,0
23496252459986,0,0,0,12564,11304,39700,171
23496263316056,0,32767,0,0,0,144766,0
23496263598482,0,0,0,59254,56523,146582,6229
23496265028296,0,32767,0,0,0,19028,0
23496265310858,0,0,0,56185,51434,144195,19143
23496276893836,0,32767,0,0,0,158083,0
23496277066806,0,0,0,26060,23992,54661,2367
23496317615688,0,32767,0,0,0,709723,0
23496317767822,0,0,0,9408,9633,46176,622
23496337966566,0,32767,0,0,0,363367,0
23496338297538,0,0,0,52460,58506,209141,15334
23496508158512,0,32767,0,0,0,2801064,0
23496508488670,0,0,0,59421,65595,204197,15151
23496512123228,0,32767,0,0,0,122620,0
23496516775210,0,0,0,4122798,3756692,3310754,656951
23496586520404,0,32767,0,0,0,1411138,0
23496586832398,0,0,0,47526,50333,195257,9002
23496656859518,0,32767,0,0,0,1198562,0
23496657052938,0,0,0,23547,24469,83796,3461
23496670506138,0,32767,0,0,0,254199,0
23496670617826,0,0,0,10032,9978,48175,572
23496873986370,0,32767,0,0,0,3322612,0
23496874128422,0,0,0,22089,21613,74260,3124
23496926480258,0,32767,0,0,0,864140,0
23496926698238,0,0,0,37732,38551,104917,2982
23496928297804,0,32767,0,0,0,48877,0
23496928448322,0,0,0,9253,9687,48121,1049
23497039102734,0,32767,0,0,0,1823972,0
23497039380246,0,0,0,15728,18679,210003,4131
23497051603200,0,32767,0,0,0,206495,0
23497051878534,0,0,0,39206,40909,160724,6241
23497266453294,0,32767,0,0,0,3528494,0
23497266641886,0,0,0,39462,40295,112007,2469
23497430379034,0,32767,0,0,0,2643843,0
23497430567102,0,0,0,19229,20453,71884,3728
23497446114494,0,32767,0,0,0,332013,0
23497446685378,0,0,0,246342,250930,410965,35217
23497457468798,0,32767,0,0,0,196702,0
23497457648550,0,0,0,24652,24204,72474,3058
23497481319586,0,32767,0,0,0,426281,0
23497481544982,0,0,0,28866,30361,115444,3488
23497593070344,0,32767,0,0,0,1955689,0
23497593314098,0,0,0,27750,28899,129917,4742
23497606204832,0,32767,0,0,0,202120,0
23497606429946,0,0,0,36507,36785,112109,2539
23497613568018,0,32767,0,0,0,202780,0
23497613787374,0,0,0,22027,21423,103130,2009
23497698507480,0,32767,0,0,0,1442273,0
23497698814874,0,0,0,52346,56279,186277,9004
23497868676172,0,32767,0,0,0,2807412,0
23497868984438,0,0,0,58699,64073,183701,10929
23497872614060,0,32767,0,0,0,114956,0
23497876831254,0,0,0,4131245,3756690,2868350,503603
23497946142520,0,32767,0,0,0,1308001,0
23497946417682,0,0,0,49921,50014,145808,4132
23498230122912,0,32767,0,0,0,4650968,0
23498230309094,0,0,0,10662,11543,74718,867
23498286065144,0,32767,0,0,0,988457,0
23498286292718,0,0,0,39741,40306,108975,2457
23498366536548,0,32767,0,0,0,1356919,0
23498366692458,0,0,0,12419,12697,53620,3323
23498555147722,0,32767,0,0,0,3086695,0
23498555404118,0,0,0,31857,35493,144450,5997
23498625966060,0,32767,0,0,0,1207223,0
23498626196906,0,0,0,38543,39431,116194,3023
23498711631516,0,32767,0,0,0,1429450,0
23498711883658,0,0,0,32524,35415,140068,4371
23498801222604,0,32767,0,0,0,1514287,0
23498801424170,0,0,0,13040,15844,88016,1896
23498852523674,0,32767,0,0,0,893802,0
23498852772014,0,0,0,36074,39667,135003,8198
23498965851012,0,32767,0,0,0,1890699,0
23498966078442,0,0,0,38593,39060,112955,2142
23499058683184,0,32767,0,0,0,1484494,0
23499059074430,0,0,0,52867,56235,256992,5065
23499144895734,0,32767,0,0,0,1423296,0
23499145416554,0,0,0,245045,245740,325075,17081
23499153609758,0,32767,0,0,0,181242,0
23499153748250,0,0,0,25554,24983,68789,3252
23499179419360,0,32767,0,0,0,431198,0
23499183953386,0,0,0,6789221,6825687,2126840,544143
23499194277750,0,32767,0,0,0,198047,0
23499194459730,0,0,0,24874,24667,74762,2879
23499228937954,0,32767,0,0,0,571472,0
23499229302934,0,0,0,46761,49295,246145,5032
23499305735208,0,32767,0,0,0,1281488,0
23499305966938,0,0,0,38821,40239,117024,2159
23499393955918,0,32767,0,0,0,1435482,0
23499394138072,0,0,0,17943,18734,78561,1612
23499645633718,0,32767,0,0,0,4181870,0
23499645813958,0,0,0,39409,39558,104698,2721
23499661081728,0,32767,0,0,0,270371,0
23499661331434,0,0,0,30686,33906,136437,2941
23499872745932,0,32767,0,0,0,3483884,0
23499872944494,0,0,0,25568,25501,85598,3418
23499985522172,0,32767,0,0,0,1804573,0
23499985872938,0,0,0,39563,39872,226049,1810
23500035594550,0,32767,0,0,0,820444,0
23500035774702,0,0,0,21080,21445,72737,1999
23500049147078,0,32767,0,0,0,264823,0
23500049422750,0,0,0,26487,26494,162558,63393
23500050501230,0,32767,0,0,0,48426,0
23500050659126,0,0,0,4902,5085,49973,37
23500062733018,0,32767,0,0,0,282070,0
23500062884234,0,0,0,9668,9475,49749,471
23500090030370,0,32767,0,0,0,474991,0
23500090136490,0,0,0,9041,9225,43153,621
23500325527502,0,32767,0,0,0,3819382,0
23500325773910,0,0,0,49250,48371,126897,3123
23500388385886,0,32767,0,0,0,1105742,0
23500389282454,0,0,0,83754,83177,755492,2167
23500417899398,0,32767,0,0,0,512595,0
23500418173782,0,0,0,53232,56715,154695,4771
23500588036444,0,32767,0,0,0,2784759,0
23500588330152,0,0,0,59863,64218,166929,7447
23500591955854,0,32767,0,0,0,111345,0
23500595755450,0,0,0,4119121,3734016,2461693,424357
23500659780014,0,32767,0,0,0,1333332,0
23500659925164,0,0,0,6826,7152,42100,348
23500663152662,0,32767,0,0,0,108409,0
23500663392606,0,0,0,32337,35110,123833,5088
23500665459162,0,32767,0,0,0,47153,0
23500665692510,0,0,0,37527,38249,118976,3464
23500844535920,0,32767,0,0,0,2959432,0
23500845070958,0,0,0,259307,261257,332894,15912
23500849763676,0,32767,0,0,0,123182,0
23500849943844,0,0,0,24781,24295,73309,3667
23500881919440,0,32767,0,0,0,566193,0
23500882131282,0,0,0,28719,30084,101186,4093
23500926966880,0,32767,0,0,0,856104,0
23500927527330,0,0,0,128545,131138,409568,23886
23500931140398,0,32767,0,0,0,49369,0
23500931331318,0,0,0,24333,24079,73209,3081
23501005258408,0,32767,0,0,0,1264445,0
23501005489994,0,0,0,40202,41149,116132,3299
23501066784222,0,32767,0,0,0,1057822,0
23501066972086,0,0,0,22584,22682,81188,3527
23501152869256,0,32767,0,0,0,1437235,0
23501153354670,0,0,0,100867,111282,332917,18558
23501216516882,0,32767,0,0,0,1140422,0
23501216706334,0,0,0,12433,14014,78303,840
23501345188734,0,32767,0,0,0,2105250,0
23501345420718,0,0,0,40050,40633,116911,3550
23501437402888,0,32767,0,0,0,1511996,0
23501437588998,0,0,0,12601,14146,73704,790
23501493001312,0,32767,0,0,0,967609,0
23501493262702,0,0,0,52378,54047,141724,5675
23501685074256,0,32767,0,0,0,3197273,0
23501685306870,0,0,0,40675,41361,117806,2911
23501758835888,0,32767,0,0,0,1201806,0
23501759097170,0,0,0,42054,44555,145015,6001
23501777468670,0,32767,0,0,0,345405,0
