TSC,CPU,DOM,vCPU,PKG,PP0,PP1,DRAM
23496246876098,0,0,0,2297812109,708240439,161186555,0
23496247626984,0,32767,0,2297812109,708240439,161186555,0
23496247776986,0,0,0,2297812109,708240439,161186555,0
23496249747250,0,32767,0,2297813022,708241128,161186574,0
23496249963250,0,0,0,2297813022,708241128,161186574,0
23496251230518,0,32767,0,2297813022,708241128,161186574,0
23496251404270,0,0,0,2297813022,708241128,161186574,0
23496252301628,0,32767,0,2297813623,708241502,161186593,0
23496252459742,0,0,0,2297813623,708241502,161186593,0
23496263315536,0,32767,0,2297814982,708242192,161186650,0
23496263598166,0,0,0,2297814982,708242192,161186650,0
23496265027776,0,32767,0,2297814982,708242192,161186650,0
23496265310474,0,0,0,2297815569,708242555,161186669,0
23496276893208,0,32767,0,2297816890,708243201,161186727,0
23496277066462,0,0,0,2297816890,708243201,161186727,0
23496317614420,0,32767,0,2297820558,708244186,161186956,0
23496317767550,0,0,0,2297820558,708244186,161186956,0
23496337965392,0,32767,0,2297822564,708244836,161187071,0
23496338297174,0,0,0,2297822564,708244836,161187071,0
23496508157340,0,32767,0,2297837428,708248467,161188028,0
23496508488238,0,0,0,2297837428,708248467,161188028,0
23496512122054,0,32767,0,2297837891,708248709,161188047,0
23496516774582,0,0,0,2297839567,708249926,161188084,0
23496586519214,0,32767,0,2297850459,708253447,161190719,0
23496586832042,0,0,0,2297850459,708253447,161190719,0
23496656858260,0,32767,0,2297856840,708255099,161191120,0
23496657052566,0,0,0,2297856840,708255099,161191120,0
23496670505546,0,32767,0,2297858123,708255492,161191196,0
23496670617558,0,0,0,2297858123,708255492,161191196,0
23496873985778,0,32767,0,2297875757,708259875,161192323,0
23496874128138,0,0,0,2297876063,708259958,161192342,0
23496926479086,0,32767,0,2297880529,708261074,161192626,0
23496926697830,0,0,0,2297880529,708261074,161192626,0
23496928296632,0,32767,0,2297880997,708261318,161192645,0
23496928447966,0,0,0,2297880997,708261318,161192645,0
23497039075984,0,32767,0,2297890522,708263652,161193258,0
23497039379902,0,0,0,2297890522,708263652,161193258,0
23497051602034,0,32767,0,2297891939,708264152,161193336,0
23497051878138,0,0,0,2297891939,708264152,161193336,0
23497266452698,0,32767,0,2297910556,708268669,161194541,0
23497266641490,0,0,0,2297910556,708268669,161194541,0
23497430377896,0,32767,0,2297924751,708272105,161195461,0
23497430566710,0,0,0,2297924751,708272105,161195461,0
23497446113894,0,32767,0,2297926319,708272543,161195558,0
23497446684930,0,0,0,2297926319,708272543,161195558,0
23497457467626,0,32767,0,2297927347,708272914,161195615,0
23497457648182,0,0,0,2297927347,708272914,161195615,0
23497481318404,0,32767,0,2297929586,708273572,161195750,0
23497481544518,0,0,0,2297929586,708273572,161195750,0
23497593069214,0,32767,0,2297939581,708276184,161196382,0
23497593313722,0,0,0,2297939581,708276184,161196382,0
23497606203710,0,32767,0,2297940873,708276572,161196458,0
23497606429550,0,0,0,2297940873,708276572,161196458,0
23497613566878,0,32767,0,2297941627,708276879,161196497,0
23497613787058,0,0,0,2297941627,708276879,161196497,0
23497698506298,0,32767,0,2297949129,708278783,161196977,0
23497698814522,0,0,0,2297949129,708278783,161196977,0
23497868674998,0,32767,0,2297963932,708282420,161197927,0
23497868983998,0,0,0,2297963932,708282420,161197927,0
23497872612784,0,32767,0,2297964405,708282658,161197947,0
23497876830598,0,0,0,2297964920,708282954,161197966,0
23497946141346,0,32767,0,2297976805,708287231,161200659,0
23497946417330,0,0,0,2297976805,708287231,161200659,0
23498230121722,0,32767,0,2298001552,708293435,161202247,0
23498230308782,0,0,0,2298001552,708293435,161202247,0
23498286063868,0,32767,0,2298006737,708294808,161202575,0
23498286292298,0,0,0,2298006737,708294808,161202575,0
23498366535374,0,32767,0,2298013944,708296645,161203036,0
23498366692094,0,0,0,2298013944,708296645,161203036,0
23498555146542,0,32767,0,2298030260,708300636,161204094,0
23498555403706,0,0,0,2298030260,708300636,161204094,0
23498625964894,0,32767,0,2298036565,708302252,161204495,0
23498626196578,0,0,0,2298036565,708302252,161204495,0
23498711630342,0,32767,0,2298044059,708304152,161204974,0
23498711883226,0,0,0,2298044059,708304152,161204974,0
23498801221406,0,32767,0,2298051834,708306093,161205476,0
23498801423806,0,0,0,2298051834,708306093,161205476,0
23498852522510,0,32767,0,2298056407,708307320,161205762,0
23498852771594,0,0,0,2298056727,708307416,161205781,0
23498965849830,0,32767,0,2298066734,708310026,161206414,0
23498966078062,0,0,0,2298066734,708310026,161206414,0
23499058682020,0,32767,0,2298074748,708312012,161206930,0
23499059074058,0,0,0,2298074748,708312012,161206930,0
23499144894570,0,32767,0,2298082256,708313920,161207408,0
23499145416062,0,0,0,2298082636,708314074,161207427,0
23499153609162,0,32767,0,2298083388,708314366,161207467,0
23499153747930,0,0,0,2298083388,708314366,161207467,0
23499179418178,0,32767,0,2298085828,708315030,161207620,0
23499183952814,0,0,0,2298086811,708315784,161207639,0
23499194276578,0,32767,0,2298088176,708316464,161207697,0
23499194459342,0,0,0,2298088176,708316464,161207697,0
23499228936782,0,32767,0,2298091228,708317281,161207888,0
23499229302478,0,0,0,2298091228,708317281,161207888,0
23499305734034,0,32767,0,2298098100,708319007,161208330,0
23499305966522,0,0,0,2298098100,708319007,161208330,0
23499393954728,0,32767,0,2298105856,708320944,161208827,0
23499394137768,0,0,0,2298105856,708320944,161208827,0
23499645633122,0,32767,0,2298127776,708326258,161210242,0
23499645813622,0,0,0,2298127776,708326258,161210242,0
23499661080556,0,32767,0,2298129046,708326637,161210318,0
23499661331034,0,0,0,2298129046,708326637,161210318,0
23499872744666,0,32767,0,2298147748,708331208,161211523,0
23499872944154,0,0,0,2298147748,708331208,161211523,0
23499985520990,0,32767,0,2298157500,708333582,161212157,0
23499985872578,0,0,0,2298157500,708333582,161212157,0
23500035593386,0,32767,0,2298161746,708334690,161212426,0
23500035774334,0,0,0,2298161746,708334690,161212426,0
23500049145812,0,32767,0,2298163108,708335147,161212503,0
23500049422374,0,0,0,2298163108,708335147,161212503,0
23500050500048,0,32767,0,2298163575,708335396,161212522,0
23500050658834,0,0,0,2298163575,708335396,161212522,0
23500062731854,0,32767,0,2298164680,708335822,161212579,0
23500062883954,0,0,0,2298164680,708335822,161212579,0
23500090029774,0,32767,0,2298167249,708336596,161212732,0
23500090136194,0,0,0,2298167249,708336596,161212732,0
23500325525750,0,32767,0,2298187898,708341570,161214071,0
23500325773566,0,0,0,2298187898,708341570,161214071,0
23500388384662,0,32767,0,2298193345,708342988,161214414,0
23500389282178,0,0,0,2298193345,708342988,161214414,0
23500417898268,0,32767,0,2298196390,708343916,161214679,0
23500418173382,0,0,0,2298196390,708343916,161214679,0
23500588035314,0,32767,0,2298211225,708347547,161215634,0
23500588329620,0,0,0,2298211225,708347547,161215634,0
23500591954578,0,32767,0,2298211681,708347777,161215653,0
23500595754782,0,0,0,2298212365,708348239,161215672,0
23500659778740,0,32767,0,2298223437,708352185,161218287,0
23500659924824,0,0,0,2298223437,708352185,161218287,0
23500663151438,0,32767,0,2298223833,708352365,161218306,0
23500663392210,0,0,0,2298223833,708352365,161218306,0
23500665457988,0,32767,0,2298224297,708352605,161218325,0
23500665692194,0,0,0,2298224297,708352605,161218325,0
23500844534748,0,32767,0,2298239752,708356424,161219316,0
23500845070470,0,0,0,2298240190,708356644,161219335,0
23500849762512,0,32767,0,2298240614,708356826,161219356,0
23500849943468,0,0,0,2298240614,708356826,161219356,0
23500881918266,0,32767,0,2298243404,708357606,161219527,0
23500882130858,0,0,0,2298243404,708357606,161219527,0
23500926965700,0,32767,0,2298247800,708358856,161219795,0
23500927526966,0,0,0,2298247800,708358856,161219795,0
23500931139224,0,32767,0,2298248268,708359099,161219814,0
23500931330970,0,0,0,2298248268,708359099,161219814,0
23501005257236,0,32767,0,2298254909,708360798,161220234,0
23501005489594,0,0,0,2298254909,708360798,161220234,0
23501066783058,0,32767,0,2298260323,708362176,161220579,0
23501066971782,0,0,0,2298260323,708362176,161220579,0
23501152868074,0,32767,0,2298267753,708364002,161221058,0
23501153354166,0,0,0,2298267753,708364002,161221058,0
23501216515692,0,32767,0,2298273618,708365596,161221420,0
23501216706042,0,0,0,2298273618,708365596,161221420,0
23501345187562,0,32767,0,2298285144,708368598,161222147,0
23501345420318,0,0,0,2298285144,708368598,161222147,0
23501437401698,0,32767,0,2298293236,708370636,161222663,0
23501437588722,0,0,0,2298293236,708370636,161222663,0
23501493000172,0,32767,0,2298298126,708371934,161222969,0
23501493262266,0,0,0,2298298126,708371934,161222969,0
23501685073084,0,32767,0,2298314977,708376018,161224054,0
23501685306474,0,0,0,2298314977,708376018,161224054,0
23501758834724,0,32767,0,2298321333,708377665,161224457,0
23501759096718,0,0,0,2298321333,708377665,161224457,0
23501777467496,0,32767,0,2298323206,708378184,161224572,0
23501777746558,0,0,0,2298323206,708378184,161224572,0
23501947607984,0,32767,0,2298338100,708381895,161225529,0
23501947899354,0,0,0,2298338100,708381895,161225529,0
23501951565398,0,32767,0,2298338565,708382135,161225548,0
23501955408990,0,0,0,2298339309,708382664,161225566,0
23502024951568,0,32767,0,2298350808,708386594,161228215,0
23502025407022,0,0,0,2298350808,708386594,161228215,0
23502107688212,0,32767,0,2298358025,708388445,161228676,0
23502107926998,0,0,0,2298358025,708388445,161228676,0
23502247509812,0,32767,0,2298370388,708391647,161229460,0
23502247746398,0,0,0,2298370388,708391647,161229460,0
23502365091094,0,32767,0,2298380823,708394246,161230128,0
23502365457162,0,0,0,2298380823,708394246,161230128,0
23502543253688,0,32767,0,2298396319,708398100,161231125,0
23502543764336,0,0,0,2298396319,708398100,161231125,0
23502545856582,0,32767,0,2298396801,708398366,161231143,0
23502546040942,0,0,0,2298396801,708398366,161231143,0
23502580003820,0,32767,0,2298399872,708399202,161231333,0
23502580213858,0,0,0,2298399872,708399202,161231333,0
23502705163200,0,32767,0,2298410932,708402005,161232041,0
23502705404206,0,0,0,2298410932,708402005,161232041,0
23502816875284,0,32767,0,2298420502,708404421,161232655,0
23502817074306,0,0,0,2298420885,708404579,161232674,0
23502826195584,0,32767,0,2298421588,708404830,161232712,0
23502826371642,0,0,0,2298421588,708404830,161232712,0
23503045091078,0,32767,0,2298440626,708409553,161233937,0
23503045311406,0,0,0,2298440971,708409657,161233958,0
23503137199084,0,32767,0,2298448978,708411640,161234473,0
23503137480322,0,0,0,2298448978,708411640,161234473,0
23503307334378,0,32767,0,2298463840,708415324,161235428,0
23503307585974,0,0,0,2298463840,708415324,161235428,0
23503384966392,0,32767,0,2298470697,708417036,161235868,0
23503385201046,0,0,0,2298470697,708417036,161235868,0
23503441450634,0,32767,0,2298475509,708418272,161236175,0
23503441651114,0,0,0,2298475509,708418272,161236175,0
23503455023672,0,32767,0,2298476843,708418709,161236251,0
23503455175470,0,0,0,2298476843,708418709,161236251,0
23503581435222,0,32767,0,2298487852,708421447,161236959,0
23503581572430,0,0,0,2298487852,708421447,161236959,0
23503672132440,0,32767,0,2298496157,708423715,161237477,0
23503672313274,0,0,0,2298496157,708423715,161237477,0
23503724853740,0,32767,0,2298500669,708424872,161237764,0
23503725075290,0,0,0,2298500964,708424945,161237783,0
23504052078674,0,32767,0,2298529341,708431856,161239619,0
23504052222698,0,0,0,2298529341,708431856,161239619,0
23504064736220,0,32767,0,2298530315,708432165,161239676,0
23504064956950,0,0,0,2298530699,708432324,161239695,0
23504241775198,0,32767,0,2298545991,708435998,161240690,0
23504242316950,0,0,0,2298545991,708435998,161240690,0
23504278232174,0,32767,0,2298549103,708436877,161240882,0
23504278440214,0,0,0,2298549103,708436877,161240882,0
23504404515202,0,32767,0,2298560141,708439619,161241590,0
23504404747742,0,0,0,2298560141,708439619,161241590,0
23504496095460,0,32767,0,2298568200,708441642,161242104,0
23504496375098,0,0,0,2298568200,708441642,161242104,0
23504540544724,0,32767,0,2298572174,708442707,161242351,0
23504540786478,0,0,0,2298572174,708442707,161242351,0
23504547373402,0,32767,0,2298572906,708442994,161242389,0
23504547795382,0,0,0,2298573312,708443181,161242408,0
23504576545318,0,32767,0,2298575836,708443900,161242561,0
23504576764754,0,0,0,2298575836,708443900,161242561,0
23504666239366,0,32767,0,2298583630,708445887,161243059,0
23504666536206,0,0,0,2298583630,708445887,161243059,0
23504670169316,0,32767,0,2298584432,708446245,161243097,0
23504673953642,0,0,0,2298585518,708447099,161243117,0
23504744403810,0,32767,0,2298596454,708450689,161245755,0
23504744774890,0,0,0,2298596454,708450689,161245755,0
23504887441818,0,32767,0,2298609080,708453915,161246558,0
23504887719376,0,0,0,2298609440,708454066,161246576,0
23505084427262,0,32767,0,2298626290,708458154,161247668,0
23505084662210,0,0,0,2298626290,708458154,161247668,0
23505151124170,0,32767,0,2298632340,708459728,161248048,0
23505151391622,0,0,0,2298632340,708459728,161248048,0
23505424314934,0,32767,0,2298655950,708465444,161249575,0
23505424537318,0,0,0,2298655950,708465444,161249575,0
23505503688920,0,32767,0,2298663145,708467260,161250035,0
23505503919554,0,0,0,2298663145,708467260,161250035,0
23505580527612,0,32767,0,2298669695,708468904,161250455,0
23505580857210,0,0,0,2298669695,708468904,161250455,0
23505644717350,0,32767,0,2298675455,708470410,161250817,0
23505644950398,0,0,0,2298675455,708470410,161250817,0
23505764235340,0,32767,0,2298685851,708472970,161251486,0
23505764466350,0,0,0,2298685851,708472970,161251486,0
23505855749630,0,32767,0,2298694072,708475152,161252004,0
23505856143814,0,0,0,2298694072,708475152,161252004,0
23505883201858,0,32767,0,2298696540,708475838,161252156,0
23505883525786,0,0,0,2298696540,708475838,161252156,0
23505940455870,0,32767,0,2298701744,708477224,161252483,0
23505940964930,0,0,0,2298701744,708477224,161252483,0
23505951730388,0,32767,0,2298702809,708477643,161252539,0
23505951915846,0,0,0,2298703126,708477733,161252558,0
23505976404750,0,32767,0,2298705264,708478308,161252691,0
23505976613226,0,0,0,2298705264,708478308,161252691,0
23506026004758,0,32767,0,2298709690,708479593,161252960,0
23506026415474,0,0,0,2298709690,708479593,161252960,0
23506030104180,0,32767,0,2298710434,708479895,161252998,0
23506033955586,0,0,0,2298711493,708480732,161253017,0
23506104125912,0,32767,0,2298722400,708484290,161255654,0
23506104362118,0,0,0,2298722400,708484290,161255654,0
23506268935530,0,32767,0,2298736916,708487825,161256593,0
23506269131504,0,0,0,2298736916,708487825,161256593,0
23506269785310,0,32767,0,2298736916,708487825,161256593,0
23506269977442,0,0,0,2298736916,708487825,161256593,0
23506444018896,0,32767,0,2298752092,708491596,161257565,0
23506444243170,0,0,0,2298752092,708491596,161257565,0
23506783887682,0,32767,0,2298781615,708498740,161259474,0
23506784113166,0,0,0,2298781615,708498740,161259474,0
23506820225998,0,32767,0,2298784968,708499638,161259683,0
23506820417938,0,0,0,2298784968,708499638,161259683,0
23506833745078,0,32767,0,2298786257,708500040,161259760,0
23506834016226,0,0,0,2298786257,708500040,161259760,0
23506834983170,0,32767,0,2298786257,708500040,161259760,0
23506835253906,0,0,0,2298786257,708500040,161259760,0
23506847313832,0,32767,0,2298787749,708500633,161259837,0
23506847464586,0,0,0,2298787749,708500633,161259837,0
23507123862738,0,32767,0,2298811837,708506613,161261384,0
23507124041854,0,0,0,2298811837,708506613,161261384,0
23507172976184,0,32767,0,2298816394,708507823,161261671,0
23507173864526,0,0,0,2298816394,708507823,161261671,0
23507215753692,0,32767,0,2298820214,708508913,161261949,0
23507216030738,0,0,0,2298820214,708508913,161261949,0
23507385893212,0,32767,0,2298835127,708512644,161262905,0
23507386140814,0,0,0,2298835127,708512644,161262905,0
23507463696696,0,32767,0,2298841986,708514364,161263347,0
23507463949134,0,0,0,2298841986,708514364,161263347,0
23507638930724,0,32767,0,2298857317,708518068,161264344,0
23507639549142,0,0,0,2298857317,708518068,161264344,0
23507647925542,0,32767,0,2298858099,708518406,161264382,0
23507648108486,0,0,0,2298858099,708518406,161264382,0
23507674576272,0,32767,0,2298860655,708519161,161264536,0
23507674784838,0,0,0,2298860655,708519161,161264536,0
23507803514370,0,32767,0,2298871980,708522001,161265264,0
23507803746342,0,0,0,2298871980,708522001,161265264,0
23508143401066,0,32767,0,2298901475,708529144,161267182,0
23508143624322,0,0,0,2298901475,708529144,161267182,0
23508483275894,0,32767,0,2298931095,708536424,161269094,0
23508483499346,0,0,0,2298931095,708536424,161269094,0
23508543415332,0,32767,0,2298936557,708537862,161269439,0
23508543567702,0,0,0,2298936557,708537862,161269439,0
23508574646186,0,32767,0,2298939332,708538632,161269611,0
23508574922842,0,0,0,2298939332,708538632,161269611,0
23508744784318,0,32767,0,2298954164,708542279,161270571,0
23508745070862,0,0,0,2298954164,708542279,161270571,0
23508748698458,0,32767,0,2298954646,708542528,161270591,0
23508752447230,0,0,0,2298955279,708542949,161270609,0
23508823154124,0,32767,0,2298966955,708547061,161273272,0
23508823388878,0,0,0,2298966955,708547061,161273272,0
23508899685964,0,32767,0,2298973558,708548748,161273691,0
23508899917302,0,0,0,2298973960,708548915,161273711,0
23509041990116,0,32767,0,2298986028,708551837,161274496,0
23509042224430,0,0,0,2298986028,708551837,161274496,0
23509163093254,0,32767,0,2298996881,708554652,161275185,0
23509163324258,0,0,0,2298996881,708554652,161275185,0
23509337704870,0,32767,0,2299012002,708558358,161276161,0
23509338162350,0,0,0,2299012002,708558358,161276161,0
23509344011938,0,32767,0,2299012779,708558701,161276198,0
23509344198566,0,0,0,2299012779,708558701,161276198,0
23509372748416,0,32767,0,2299015576,708559481,161276370,0
23509377050426,0,0,0,2299016559,708560238,161276389,0
23509384831476,0,32767,0,2299017566,708560792,161276427,0
23509384973892,0,0,0,2299017566,708560792,161276427,0
